code,name,cate_code,cate_name
60310,3S,32902,특수 목적용 기계 제조업
95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업
68400,AJ렌터카,147601,운송장비 임대업
6840,AK홀딩스,116409,기타 금융업
54620,APS홀딩스,116409,기타 금융업
265520,AP시스템,32902,특수 목적용 기계 제조업
211270,AP위성,32604,통신 및 방송 장비 제조업
27410,BGF,74701,종합 소매업
282330,BGF리테일,74701,종합 소매업
138930,BNK금융지주,116409,기타 금융업
1460,BYC,31401,봉제의복 제조업
32040,C&S자산관리,147509,기타 사업지원 서비스업
1040,CJ,116409,기타 금융업
79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
130960,CJ E&M,106002,텔레비전 방송업
120,CJ대한통운,84903,도로 화물 운송업
11150,CJ씨푸드,31007,기타 식품 제조업
35760,CJ오쇼핑,106002,텔레비전 방송업
97950,CJ제일제당,31007,기타 식품 제조업
51500,CJ프레시웨이,74603,음·식료품 및 담배 도매업
37560,CJ헬로,106002,텔레비전 방송업
58820,CMG제약,32102,의약품 제조업
23460,CNH,116402,신탁업 및 집합투자업
65770,CS,32604,통신 및 방송 장비 제조업
83660,CSA 코스믹,32202,플라스틱제품 제조업
590,CS홀딩스,116409,기타 금융업
12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
16610,DB금융투자,116601,금융 지원 서비스업
45890,DB라이텍,32804,전구 및 조명장치 제조업
5830,DB손해보험,116501,보험업
990,DB하이텍,32601,반도체 제조업
139130,DGB금융지주,116409,기타 금융업
68790,DMS,32902,특수 목적용 기계 제조업
4840,DRB동일,116409,기타 금융업
241520,DSC인베스트먼트,116402,신탁업 및 집합투자업
155660,DSR,32402,1차 비철금속 제조업
69730,DSR제강,32401,1차 철강 제조업
17940,E1,74607,기타 전문 도매업
245620,EDGC,137001,자연과학 및 공학 연구개발업
37370,EG,74607,기타 전문 도매업
79190,EMW,32604,통신 및 방송 장비 제조업
7700,F&F,31401,봉제의복 제조업
130500,GH신소재,31309,기타 섬유제품 제조업
114090,GKL,189102,유원지 및 기타 오락관련 서비스업
32860,GMR 머티리얼즈,53803,"해체, 선별 및 원료 재생업"
900290,GRT,116409,기타 금융업
78930,GS,116409,기타 금융업
83450,GST,32902,특수 목적용 기계 제조업
6360,GS건설,64101,건물 건설업
1250,GS글로벌,74608,상품 종합 도매업
7070,GS리테일,74701,종합 소매업
28150,GS홈쇼핑,106002,텔레비전 방송업
78150,HB테크놀러지,32902,특수 목적용 기계 제조업
12630,HDC,64101,건물 건설업
39570,HDC아이콘트롤스,64203,전기 및 통신 공사업
89470,HDC현대EP,32004,기타 화학제품 제조업
294870,HDC현대산업개발,64101,건물 건설업
36640,HRS,32002,합성고무 및 플라스틱 물질 제조업
82740,HSD엔진,32901,일반 목적용 기계 제조업
225430,IBKS제3호스팩,116601,금융 지원 서비스업
254120,IBKS제5호스팩,116601,금융 지원 서비스업
264850,IBKS제6호스팩,116601,금융 지원 서비스업
276920,IBKS제7호스팩,116601,금융 지원 서비스업
277410,IBKS제8호스팩,116601,금융 지원 서비스업
95340,ISC,32602,전자부품 제조업
99520,ITX엠투엠,32605,영상 및 음향기기 제조업
175330,JB금융지주,116409,기타 금융업
950170,JTC,74701,종합 소매업
234080,JW생명과학,32102,의약품 제조업
67290,JW신약,32102,의약품 제조업
1060,JW중외제약,32102,의약품 제조업
96760,JW홀딩스,116409,기타 금융업
35900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업
105560,KB금융,116409,기타 금융업
24120,KB오토시스,33003,자동차 신품 부품 제조업
21320,KCC건설,64101,건물 건설업
36670,KCI,32004,기타 화학제품 제조업
9440,KC그린홀딩스,116409,기타 금융업
112190,KC산업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
119650,KC코트렐,32901,일반 목적용 기계 제조업
44180,KD건설,64101,건물 건설업
92220,KEC,32601,반도체 제조업
151860,KG ETS,53802,폐기물 처리업
46440,KG모빌리언스,105802,소프트웨어 개발 및 공급업
35600,KG이니시스,105802,소프트웨어 개발 및 공급업
1390,KG케미칼,32001,기초 화학물질 제조업
60720,KH바텍,32602,전자부품 제조업
1940,KISCO홀딩스,116409,기타 금융업
83470,KJ프리텍,32202,플라스틱제품 제조업
122450,KMH,106002,텔레비전 방송업
52900,KMH하이텍,32202,플라스틱제품 제조업
58400,KNN,106002,텔레비전 방송업
114450,KPX생명과학,32101,기초 의약물질 및 생물학적 제제 제조업
